How did Dalton describe the physical nature of atoms in his early model?,"As indivisible, indestructible solid spheres."
"In Dalton's theory, how do atoms of the same element compare to one another?",They are identical in mass and chemical properties.
What occurs during a chemical reaction according to Dalton’s postulates?,"Atoms are rearranged, separated, or combined, but never created or destroyed."
"Which law states that when elements combine, they do so in ratios of small whole numbers?",The Law of Multiple Proportions.
J.J. Thompson used a device called a _____ ray tube to discover the electron.,Cathode
What did Thompson conclude about the charge of cathode rays based on their deflection by magnetic fields?,They consist of negatively charged particles.
What specific property of the electron was Thompson able to calculate?,The mass-to-charge ratio ($e/m$).
"In Thompson's 'Plum Pudding' model, what does the 'pudding' represent?",A uniform sphere of positive charge.
"In the Thompson model, where are the electrons located?",They are embedded within a sphere of positive charge like raisins in a pudding.
What was the primary objective of Robert Millikan's oil drop experiment?,To measure the elementary charge of a single electron.
"In Millikan's experiment, the downward force of gravity on an oil drop was balanced by an upward _____ force.",Electrical
What did Millikan observe about the charge on different oil drops that suggested charge is quantised?,Every charge was a whole-number multiple of a single fundamental value.
"Using Thompson's $e/m$ ratio and his own charge value, what was Millikan able to calculate?",The mass of an electron.
What is the approximate value of the elementary charge ($e$) determined by Millikan?,$1.602 \times 10^{-19}$ Coulombs.
Which type of radiation did Ernest Rutherford use to probe the structure of the atom?,$\alpha$ particles (alpha particles).
"In the gold foil experiment, why did Rutherford expect the $\alpha$ particles to pass straight through with minimal deflection?",Because the positive charge in the Plum Pudding model was thought to be diffuse and weak.
What surprising observation did Rutherford make when $\alpha$ particles hit the gold foil?,"A small fraction of particles were deflected at very large angles, some even bouncing straight back."
What did the large-angle deflections in the gold foil experiment suggest about the atom's mass?,"The mass is concentrated in a tiny, dense centre called the nucleus."
Rutherford’s model concluded that the atom is mostly composed of _____.,Empty space
How did Rutherford describe the charge of the atomic nucleus?,Positively charged.
"In the Rutherford model, where are the electrons located in relation to the nucleus?","They orbit the nucleus at a distance, similar to planets orbiting a sun."
Henry Moseley used _____ spectroscopy to study the frequencies of light emitted by different elements.,X-ray
What mathematical relationship did Moseley discover between X-ray frequency and an element's position?,The square root of the frequency ($\sqrt{\nu}$) is proportional to the atomic number ($Z$).
"Prior to Moseley’s work, how were elements primarily ordered in the periodic table?",By increasing atomic mass.
Moseley proved that the properties of an element are determined by its _____ rather than its atomic weight.,Atomic number
"According to Moseley, what does the atomic number physically represent?",The number of positive charges (protons) in the nucleus.
How did Moseley’s work help identify gaps in the periodic table?,By identifying missing atomic numbers where elements had not yet been discovered.
What was the main flaw in the Rutherford model that Niels Bohr attempted to fix?,Classical physics predicted that orbiting electrons would lose energy and spiral into the nucleus.
"In the Bohr model, electrons can only exist in specific, allowed paths called _____.",Stationary states (or orbits/energy levels)
"According to Bohr, when does an electron radiate energy?",Only when it jumps from a higher energy orbit to a lower energy orbit.
The formula $E = hf$ in Bohr’s theory describes the energy of a _____ emitted during an electron transition.,Photon
What is the 'ground state' of an atom in the Bohr model?,The lowest energy level where an electron is most stable.
Bohr's model successfully explained the emission spectrum of which specific element?,Hydrogen
"What term describes the discrete, fixed amounts of energy an electron can have in the Bohr model?",Quanta
"If an electron absorbs a photon, to which state does it transition?",An excited state.
How does the distance of an orbit from the nucleus relate to its energy in the Bohr model?,Orbits further from the nucleus have higher energy levels.
Which architect of the atom is credited with the discovery of the nucleus?,Ernest Rutherford.
Which scientist's work led to the reorganisation of the periodic table by atomic number?,Henry Moseley.
The discovery of isotopes eventually showed that Dalton was incorrect about which postulate?,That all atoms of the same element have identical masses.
"Thompson's cathode ray experiments proved that the atom was not _____, contrary to Dalton's view.",Indivisible
What did Rutherford name the positively charged particles found in the nucleus?,Protons
Concept: Quantisation of Angular Momentum,"Definition: Bohr's proposal that an electron's angular momentum can only take specific, discrete values."
"In Millikan's setup, how was the mass of the oil drops determined?",By measuring their terminal velocity as they fell through the air under gravity.
What was the charge of the $\alpha$ particles used in Rutherford's experiment?,Positive ($+2e$).
Moseley’s Law provided a physical justification for the periodic table's _____.,Periodicity
What happens to the wavelength of light emitted as an electron drops between energy levels with a larger energy gap?,The wavelength decreases (frequency increases).
Why was Dalton's model often called the 'Billiard Ball' model?,"Because he viewed atoms as hard, solid spheres with no internal structure."
"In Thompson's experiments, cathode rays were deflected away from a _____ charged plate.",Negatively
How did Bohr's model explain the specific colours seen in a hydrogen emission spectrum?,Each colour corresponds to a specific energy transition between quantised orbits.
Dalton’s Law of Conservation of Mass states that mass is neither created nor destroyed during a _____.,Chemical reaction
What did Millikan use to ionise the air in his chamber to charge the oil drops?,X-rays
The 'Nuclear Model' of the atom is most closely associated with which scientist?,Ernest Rutherford.
What did Thompson call the particles he discovered before they were named 'electrons'?,Corpuscles
"Which scientist's work was cut short by his death in World War I, leading to a policy change regarding scientists in combat?",Henry Moseley.
"In the Bohr model, the integer '$n$' ($1, 2, 3...$) represents the _____.",Principal quantum number (or orbit level).
What force provides the centripetal acceleration for electrons in the Bohr model?,Electrostatic attraction between the nucleus and the electron.
Rutherford's model failed to explain why electrons did not lose energy via _____ radiation.,Electromagnetic
"According to Dalton, compounds are formed when atoms of different elements combine in _____ ratios.",Fixed
What material was the 'screen' coated with in Rutherford's experiment to detect alpha particles?,Zinc sulphide (which produced flashes of light).
Term: Atomic Number ($Z$),"Definition: The number of protons in an atom's nucleus, as identified by Moseley."
What is the relationship between the frequency ($f$) of an emitted photon and the energy difference ($\Delta E$) between Bohr orbits?,$\Delta E = hf$
Which scientist first proposed that the atom was mostly empty space?,Ernest Rutherford.
Millikan’s experiment confirmed that the electron's charge is the _____ unit of charge.,Fundamental (or elementary)
What did J.J. Thompson use to show that cathode rays had mass?,A paddle wheel within the tube that turned when struck by the rays.
Dalton's atomic theory was first published in the early _____ century.,19th ($1803$-$1808$).
"Bohr's model introduced the idea that electrons can only 'jump' between orbits, a process known as a _____ jump.",Quantum
What property of the atom determines its chemical identity according to Moseley's findings?,The atomic number.
How did Rutherford identify the nature of alpha particles?,By showing they were identical to ionised helium atoms ($He^{2+}$).
Which scientist bridged the gap between Rutherford's nuclear model and quantum theory?,Niels Bohr.